Date,close
2025-11-21,1654.93
2025-11-24,1667.98
2025-11-25,1660.36
2025-11-26,1680.36
2025-11-27,1684.32
2025-11-28,1690.99
2025-12-01,1701.67
2025-12-02,1717.06
2025-12-03,1731.77
2025-12-04,1737.24
2025-12-05,1741.32
2025-12-08,1753.74
2025-12-09,1747.17
2025-12-10,1718.98
2025-12-11,1698.9
2025-12-12,1646.89
2025-12-15,1646.01
2025-12-16,1679.18
2025-12-17,1673.66
2025-12-18,1676.98
2025-12-19,1704.31
2025-12-22,1751.03
2025-12-23,1772.15
2025-12-24,1782.82
2025-12-25,1742.85
2025-12-26,1729.8
2025-12-29,1754.84
2025-12-30,1766.9
2025-12-31,1784.49
2026-01-05,1788.4
2026-01-06,1816.27
2026-01-07,1861.58
2026-01-08,1855.56
2026-01-09,1867.9
2026-01-12,1877.33
2026-01-13,1902.93
2026-01-14,1894.44
2026-01-15,1864.8
2026-01-16,1879.13
2026-01-19,1896.59
2026-01-20,1893.78
2026-01-21,1885.44
2026-01-22,1882.73
2026-01-23,1870.79
2026-01-26,1843.72
2026-01-27,1830.5
2026-01-28,1802.91
2026-01-29,1814.98
2026-01-30,1829.04
2026-02-02,1806.5
2026-02-03,1813.4
2026-02-04,1791.43
2026-02-05,1782.56
2026-02-06,1755.49
2026-02-09,1754.82
2026-02-10,1754.03
2026-02-11,1796.85
2026-02-12,1814.09
2026-02-13,1824.09
2026-02-23,1860.14
2026-02-24,1867.62
2026-02-25,1860.91
2026-02-26,1879.64
2026-02-27,1880.33
2026-03-02,1846.1
2026-03-03,1813.14
2026-03-04,1818.27
2026-03-05,1808.51
2026-03-06,1767.84
2026-03-09,1652.79
2026-03-10,1676.73
2026-03-11,1728.34
2026-03-12,1709.61
2026-03-13,1696.24
2026-03-16,1693.21
2026-03-17,1710.29
2026-03-18,1713.83
2026-03-19,1699.13
2026-03-20,1647.81
2026-03-23,1591.17
2026-03-24,1614.77
2026-03-25,1658.19
2026-03-26,1644.63
2026-03-27,1672.8
2026-03-30,1662.54
2026-03-31,1674.49
2026-04-01,1702.93
2026-04-02,1694.82
2026-04-03,1684.04
2026-04-06,1674.99
2026-04-07,1677.54
2026-04-08,1756.55
2026-04-09,1736.68
2026-04-10,1750.0
2026-04-13,1758.96
2026-04-14,1775.65
2026-04-15,1800.65
2026-04-16,1819.83
2026-04-17,1817.17
2026-04-20,1837.11
2026-04-21,1833.48
2026-04-22,1857.3
2026-04-23,1870.36
2026-04-24,1853.29
2026-04-28,1875.84
2026-04-29,1854.1
2026-05-04,1854.06
2026-05-05,1874.85
2026-05-06,1891.2
2026-05-07,1909.01
2026-05-08,1915.37
2026-05-11,1895.5
2026-05-12,1901.1
2026-05-13,1898.37
2026-05-14,1925.46
2026-05-15,1921.6
2026-05-18,1927.94
2026-05-19,1912.93
2026-05-20,1913.23
2026-05-21,1896.89
2026-05-22,1877.13
2026-05-25,1886.03
2026-05-26,1884.18
2026-05-27,1874.43
2026-05-28,1863.67
2026-05-29,1863.49
2026-06-01,1844.54
2026-06-02,1826.47
2026-06-03,1819.01
2026-06-04,1831.55
2026-06-05,1838.9
2026-06-08,1790.53
2026-06-09,1793.05
2026-06-10,1803.71
2026-06-11,1798.61
2026-06-12,1791.65
2026-06-15,1799.31
2026-06-16,1807.94
2026-06-17,1806.2
2026-06-18,1830.47
2026-06-19,1824.53
2026-06-22,1857.91
2026-06-23,1869.04
2026-06-24,1878.02
2026-06-25,1863.07
2026-06-26,1871.91
2026-06-29,1854.97
2026-06-30,1860.01
2026-07-01,1867.21
2026-07-02,1866.35
2026-07-03,1862.08
2026-07-06,1843.5
2026-07-07,1848.25
2026-07-08,1853.7
2026-07-09,1840.7
2026-07-10,1828.34
2026-07-13,1800.54
2026-07-14,1806.63
2026-07-15,1782.12
2026-07-16,1804.24
2026-07-17,1787.45
2026-07-20,1743.51
2026-07-21,1730.56
2026-07-22,1668.53
2026-07-23,1699.38
2026-07-24,1686.11
2026-07-27,1669.01
2026-07-28,1680.62
2026-07-29,1704.68
2026-07-30,1744.66
2026-07-31,1735.78
2026-08-03,1762.84
2026-08-04,1777.23
2026-08-05,1776.46
2026-08-06,1764.78
2026-08-07,1768.06
2026-08-10,1776.77
2026-08-11,1773.41
2026-08-12,1793.18
2026-08-13,1765.63
2026-08-14,1729.08
2026-08-17,1727.46
2026-08-18,1732.02
2026-08-19,1726.69
2026-08-20,1734.24
2026-08-21,1768.12
2026-08-24,1788.78
2026-08-25,1791.41
2026-08-26,1821.32
2026-08-27,1831.56
2026-08-28,1832.12
